,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
0,0Lcgf6yhcC1d2mkafHogkx,pockets,59,track,False,True,208230,1,1,7uwY65fDg3FVJ8MkJ5QuZK,easy life,7uwY65fDg3FVJ8MkJ5QuZK,easy life,19shw25AfTD9BWmV0kuhDn,pockets,2017-11-22,1,album
1,6BxhzevDe4Mzrabj9Pa1eZ,nightmares,66,track,False,True,207326,1,10,7uwY65fDg3FVJ8MkJ5QuZK,easy life,7uwY65fDg3FVJ8MkJ5QuZK,easy life,2xOawu4iq9fwcdFNvGBTdl,life's a beach,2021-05-28,12,album
2,66TsQdpn3KuBjuqAxyILRf,Absurd,49,track,False,False,217280,1,2,6KNqvxgfYVRSzgAE1j2UT5,Declan Welsh and The Decadent West,6KNqvxgfYVRSzgAE1j2UT5,Declan Welsh and The Decadent West,1pOJVlPjOyDNlgGaGA4NCm,"Cheaply Bought, Expensively Sold",2019-10-18,12,album
3,5cIWkWH6xVdEllQ9ksuu2E,Sun,62,track,False,False,187720,1,4,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,1I1ZFdY9LI6kxPANmduRcN,Beacon,2012-09-03,12,album
4,4BsQ6HzywRiSHf45WXRft8,Sleep Alone,56,track,False,False,236440,1,6,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,1I1ZFdY9LI6kxPANmduRcN,Beacon,2012-09-03,12,album
5,4JHg4nNYUJQ5HULcCmI18R,What You Know,75,track,False,False,189693,1,8,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,6n8oS6u5qw6xWGT754V1M6,Tourist History,2010-03-01,10,album
6,0K0JJ3QZEHYhBwkE21L2HZ,skeletons,64,track,False,False,178713,1,4,7uwY65fDg3FVJ8MkJ5QuZK,easy life,7uwY65fDg3FVJ8MkJ5QuZK,easy life,2xOawu4iq9fwcdFNvGBTdl,life's a beach,2021-05-28,12,album
7,6FtIK0IkmG33lKbc1pyAlZ,AMAZING,77,track,False,False,209200,1,1,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,0iv1vqUOxADWV9vhTlF4Qe,AMAZING,2022-02-14,1,album
8,6keyBQK6pA0OApRfM1f0dp,Panama,58,track,False,False,198546,1,5,4AGNJdJiVltImYk1UTLE0K,Sports,4AGNJdJiVltImYk1UTLE0K,Sports,4QcHsIfSbjgNzZmxqfRP7N,Naked All the Time,2015-07-24,8,album
9,4SqWKzw0CbA05TGszDgMlc,I Love You So,95,track,False,False,160239,1,1,027TpXKGwdXP7iwbjUSpV8,The Walters,027TpXKGwdXP7iwbjUSpV8,The Walters,7ucm85tRsWk6EyVHaYAxe9,I Love You So,2014-11-28,1,album
10,0ioTTk5l0Zz7Oh48qEocgj,KEEP IT UP,79,track,False,False,183000,1,1,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,36IWMZ2DOpKbLb0IrzWc4U,KEEP IT UP,2022-01-26,1,album
11,51vgdXfOG7nCQlCppohyNz,You Weren't Meant to See That,55,track,False,False,177240,1,4,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,5qIjIdqOGtrbJSc1Htiod6,Into The Shallows,2018-05-25,10,album
12,5YICiSTdTX0y9wwA7CuNYh,Aglow,60,track,False,False,167680,1,1,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,4gYkP020jxh3sMb2l3ccj1,Aglow,2015-12-04,1,album
13,3qpyxgH65qNhJ9hLS2gWrS,Origami,66,track,False,False,174182,1,5,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,3LJ8HoyzFM8NA5M1zd7Z5W,Big Whoop,2021-06-18,12,album
14,3AbV3JF0bJAZXeHEJZfpke,4 Seasons,64,track,False,True,301773,1,6,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,2NBVxjZcbH5H1N1Ab2ExDH,Apricot Princess,2017-04-26,10,album
15,0sTlGEld0h8kIPZaKDYUf4,Notion,90,track,False,False,195120,1,1,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions,4Uf8BVznefnd2xZm2nRFUx,Notion,2021-12-02,1,album
16,0LDiaSudHOYJ8e473mv5uY,Leave The Door Open,72,track,False,False,242096,1,2,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,0S0r2RFucaW9kVjBtcBOV1,An Evening With Silk Sonic,2021-11-12,9,album
17,3Y7fpFZbHLpAvWJJYGehz0,Follow The Sun,74,track,False,False,256266,1,6,5lbM4g6bhxjNX7R5QHP2nD,Xavier Rudd,5lbM4g6bhxjNX7R5QHP2nD,Xavier Rudd,2GFXYpDQ1TOZ9zJUk30tXO,Spirit Bird,2012-01-01,13,album
18,7bp3zmEvpHLa0h32nhDUkB,L’enfer,84,track,False,False,189720,1,1,5j4HeCoUlzhfWtjAfM1acR,Stromae,5j4HeCoUlzhfWtjAfM1acR,Stromae,7bSSz8KnOpZaJor6Cs3GkM,L’enfer,2022-01-09,1,album
19,77loZpT5Y5PRP1S451P9Yz,The Reason,82,track,False,False,232800,1,8,2MqhkhX4npxDZ62ObR5ELO,Hoobastank,2MqhkhX4npxDZ62ObR5ELO,Hoobastank,2zE1YKY7Okj10Tjl09jjth,The Reason (15th Anniversary Deluxe),2003-12-09,17,album
20,1E5Xu8dur0fAjSP1VpVhAZ,Best Friends,82,track,False,False,163504,1,9,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06,16,album
21,1NhjYYcYTRywc0di98xHxf,"Here We Go… Again (feat. Tyler, the Creator)",82,track,False,True,209777,1,8,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06,16,album
